system_name,Mean_P@1,Mean_P@10,Mean_P@50,Mean_P@500,Mean_P@1000
CL99XT,0.74,0.6920000000000001,0.4032,0.11728,0.06734
Dm8TFidf,0.56,0.344,0.19920000000000002,0.06044000000000001,0.03844
GE8ATDN2,0.6,0.512,0.32,0.10172,0.06136
INQ601,0.44,0.436,0.2896,0.08715999999999999,0.05402
Mer8Adtd2,0.6,0.444,0.2788,0.09,0.05662
acsys8alo,0.58,0.53,0.3452,0.11024,0.06624000000000001
acsys8alo2,0.6,0.474,0.31679999999999997,0.10096,0.0616
apl8c621,0.66,0.504,0.3196,0.10987999999999999,0.0667
apl8ctd,0.56,0.45,0.2984,0.1026,0.06234
att99atde,0.62,0.5479999999999999,0.35719999999999996,0.11004,0.06512000000000001
fub99a,0.7,0.53,0.3396,0.10880000000000001,0.06524
ibms99b,0.56,0.46,0.31920000000000004,0.10252,0.06302
nttd8ale,0.66,0.494,0.3276,0.10375999999999999,0.062400000000000004
ok8asxc,0.58,0.488,0.322,0.1012,0.06026
pir9Attd,0.58,0.508,0.3452,0.11164,0.06684
