query_id,CL99XT,Dm8TFidf,GE8ATDN2,INQ601,Mer8Adtd2,acsys8alo,acsys8alo2,apl8c621,apl8ctd,att99atde,fub99a,ibms99b,nttd8ale,ok8asxc,pir9Attd,Overall
401,0.44,0.06,0.4,0.08,0.1,0.56,0.42,0.64,0.02,0.12,0.0,0.04,0.02,0.06,0.14,0.2066666666666667
402,0.34,0.42,0.48,0.22,0.28,0.46,0.5,0.5,0.48,0.36,0.48,0.28,0.42,0.3,0.24,0.384
403,0.36,0.36,0.38,0.4,0.36,0.38,0.4,0.4,0.4,0.4,0.38,0.4,0.36,0.4,0.4,0.3853333333333334
404,0.36,0.26,0.28,0.24,0.38,0.34,0.32,0.26,0.26,0.28,0.26,0.24,0.3,0.44,0.34,0.30400000000000005
405,0.3,0.18,0.42,0.14,0.22,0.32,0.26,0.28,0.28,0.3,0.36,0.24,0.34,0.14,0.32,0.2733333333333333
406,0.26,0.08,0.08,0.18,0.14,0.18,0.16,0.24,0.26,0.22,0.16,0.2,0.14,0.18,0.18,0.17733333333333337
407,0.6,0.3,0.4,0.4,0.36,0.32,0.32,0.54,0.46,0.58,0.4,0.42,0.54,0.58,0.5,0.448
408,0.5,0.42,0.34,0.38,0.42,0.32,0.38,0.4,0.36,0.38,0.4,0.36,0.38,0.28,0.38,0.38
409,0.16,0.2,0.12,0.14,0.18,0.12,0.12,0.16,0.1,0.18,0.12,0.1,0.24,0.1,0.12,0.14400000000000002
410,0.7,0.56,0.72,0.9,0.82,0.84,0.82,0.74,0.84,0.88,0.84,0.9,0.84,0.84,0.9,0.8093333333333333
411,0.2,0.24,0.18,0.2,0.16,0.22,0.22,0.3,0.22,0.24,0.16,0.22,0.26,0.22,0.24,0.21866666666666668
412,0.62,0.0,0.54,0.44,0.32,0.7,0.58,0.0,0.12,0.76,0.38,0.5,0.44,0.58,0.66,0.4426666666666667
413,0.36,0.36,0.5,0.02,0.1,0.42,0.3,0.44,0.2,0.4,0.32,0.1,0.34,0.06,0.22,0.27599999999999997
414,0.2,0.22,0.32,0.26,0.22,0.2,0.18,0.22,0.16,0.24,0.28,0.16,0.26,0.28,0.2,0.22666666666666668
415,0.62,0.7,0.84,0.58,0.68,0.72,0.68,0.82,0.8,0.86,0.82,0.74,0.72,0.86,0.8,0.7493333333333333
416,0.42,0.14,0.36,0.36,0.36,0.34,0.38,0.36,0.38,0.36,0.38,0.38,0.4,0.32,0.4,0.35600000000000004
417,0.52,0.0,0.46,0.14,0.42,0.52,0.46,0.24,0.36,0.02,0.56,0.44,0.36,0.44,0.24,0.3453333333333334
418,0.5,0.12,0.42,0.36,0.42,0.42,0.44,0.36,0.4,0.5,0.46,0.48,0.28,0.72,0.42,0.41999999999999993
419,0.26,0.14,0.08,0.06,0.04,0.18,0.14,0.16,0.1,0.08,0.18,0.16,0.16,0.12,0.08,0.12933333333333333
420,0.4,0.04,0.24,0.28,0.3,0.26,0.26,0.34,0.38,0.32,0.34,0.3,0.24,0.32,0.38,0.2933333333333333
421,0.16,0.0,0.06,0.08,0.04,0.02,0.02,0.0,0.2,0.28,0.02,0.1,0.08,0.18,0.24,0.09866666666666667
422,0.56,0.06,0.42,0.86,0.56,0.72,0.54,0.54,0.12,0.36,0.78,0.64,0.78,0.72,0.68,0.5559999999999999
423,0.36,0.3,0.2,0.22,0.28,0.26,0.26,0.32,0.3,0.3,0.24,0.28,0.34,0.26,0.3,0.28133333333333327
424,0.56,0.36,0.56,0.3,0.4,0.56,0.48,0.56,0.42,0.52,0.52,0.32,0.48,0.18,0.36,0.4386666666666667
425,0.8,0.48,0.5,0.6,0.58,0.7,0.66,0.56,0.58,0.74,0.72,0.76,0.56,0.8,0.58,0.6413333333333334
426,0.88,0.02,0.28,0.12,0.14,0.5,0.48,0.28,0.1,0.14,0.44,0.24,0.34,0.18,0.64,0.3186666666666666
427,0.38,0.2,0.24,0.2,0.22,0.26,0.3,0.38,0.34,0.3,0.16,0.24,0.26,0.46,0.24,0.2786666666666667
428,0.56,0.2,0.3,0.44,0.34,0.44,0.38,0.46,0.48,0.44,0.32,0.48,0.3,0.48,0.28,0.3933333333333333
429,0.22,0.08,0.16,0.22,0.16,0.2,0.18,0.18,0.2,0.2,0.16,0.1,0.2,0.16,0.18,0.17333333333333334
430,0.12,0.1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11866666666666671
431,0.54,0.26,0.62,0.42,0.76,0.7,0.74,0.64,0.64,0.7,0.68,0.48,0.62,0.64,0.56,0.6
432,0.02,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.0,0.0,0.02,0.016
433,0.06,0.0,0.02,0.02,0.04,0.04,0.04,0.08,0.08,0.1,0.0,0.04,0.02,0.02,0.0,0.03733333333333334
434,0.88,0.4,0.72,0.66,0.56,0.78,0.7,0.4,0.22,0.8,0.88,0.68,0.68,0.92,0.72,0.6666666666666666
435,0.6,0.04,0.34,0.36,0.14,0.26,0.24,0.4,0.5,0.42,0.3,0.34,0.32,0.3,0.36,0.328
436,0.48,0.1,0.24,0.38,0.2,0.3,0.28,0.24,0.42,0.58,0.02,0.38,0.4,0.08,0.64,0.31599999999999995
437,0.16,0.08,0.0,0.06,0.06,0.0,0.02,0.0,0.0,0.1,0.02,0.06,0.08,0.06,0.0,0.04666666666666666
438,0.2,0.04,0.4,0.44,0.4,0.34,0.26,0.14,0.24,0.52,0.28,0.32,0.4,0.3,0.32,0.30666666666666664
439,0.08,0.14,0.48,0.08,0.14,0.1,0.14,0.06,0.02,0.08,0.44,0.08,0.16,0.06,0.1,0.14400000000000004
440,0.26,0.04,0.2,0.28,0.12,0.26,0.24,0.32,0.38,0.44,0.26,0.38,0.26,0.32,0.26,0.26799999999999996
441,0.32,0.18,0.22,0.3,0.24,0.3,0.3,0.28,0.3,0.28,0.24,0.32,0.24,0.18,0.34,0.2693333333333333
442,0.22,0.02,0.02,0.04,0.08,0.1,0.06,0.08,0.1,0.1,0.08,0.04,0.06,0.06,0.1,0.07733333333333334
443,0.22,0.18,0.22,0.32,0.18,0.0,0.02,0.14,0.16,0.18,0.24,0.24,0.2,0.12,0.2,0.17466666666666666
444,0.34,0.2,0.16,0.22,0.28,0.2,0.18,0.32,0.32,0.3,0.16,0.3,0.26,0.26,0.32,0.25466666666666665
445,0.76,0.2,0.28,0.28,0.24,0.24,0.22,0.28,0.34,0.36,0.26,0.34,0.2,0.24,0.4,0.30933333333333335
446,0.66,0.12,0.46,0.52,0.36,0.62,0.32,0.38,0.64,0.72,0.78,0.78,0.62,0.5,0.74,0.548
447,0.26,0.24,0.06,0.14,0.04,0.26,0.22,0.24,0.04,0.16,0.22,0.1,0.26,0.18,0.32,0.18266666666666667
448,0.3,0.06,0.1,0.02,0.08,0.06,0.04,0.1,0.02,0.02,0.22,0.02,0.1,0.16,0.1,0.09333333333333334
449,0.2,0.22,0.2,0.2,0.24,0.18,0.2,0.22,0.24,0.2,0.24,0.22,0.22,0.28,0.18,0.21600000000000005
450,0.88,0.84,0.86,0.78,0.64,0.9,0.84,0.84,0.8,0.88,0.88,0.88,0.78,0.64,0.8,0.8160000000000002
Overall,0.4032,0.1992,0.32,0.28959999999999997,0.27880000000000005,0.34519999999999995,0.31679999999999997,0.31960000000000005,0.29840000000000005,0.35719999999999996,0.33959999999999996,0.31920000000000004,0.32760000000000006,0.32199999999999995,0.3452,0.31877333333333335
