System A,System B,T-statistic,T p-value,T Significant,W-statistic,W p-value,W Significant
CL99XT,Dm8TFidf,6.901963,0.0,True,94.0,0.0,True
CL99XT,GE8ATDN2,3.953002,0.000248,True,232.0,4.4e-05,True
CL99XT,INQ601,5.865618,0.0,True,130.0,0.0,True
CL99XT,Mer8Adtd2,6.25392,0.0,True,103.0,0.0,True
CL99XT,acsys8alo,2.867089,0.006091,True,313.0,0.00138,True
CL99XT,acsys8alo2,4.273437,8.8e-05,True,169.0,1e-06,True
CL99XT,apl8c621,2.248008,0.029109,True,397.0,0.019588,True
CL99XT,apl8ctd,3.229887,0.002214,True,278.0,0.000352,True
CL99XT,att99atde,2.039063,0.046857,True,450.0,0.070826,False
CL99XT,fub99a,2.272567,0.027475,True,391.0,0.016638,True
CL99XT,ibms99b,3.776191,0.000431,True,239.0,6.2e-05,True
CL99XT,nttd8ale,3.149406,0.002786,True,319.0,0.001715,True
CL99XT,ok8asxc,3.605938,0.000727,True,240.0,6.5e-05,True
CL99XT,pir9Attd,1.954467,0.056365,False,374.0,0.010262,True
Dm8TFidf,GE8ATDN2,-4.508293,4.1e-05,True,181.0,3e-06,True
Dm8TFidf,INQ601,-3.13286,0.00292,True,356.0,0.005942,True
Dm8TFidf,Mer8Adtd2,-2.529348,0.014695,True,336.0,0.003099,True
Dm8TFidf,acsys8alo,-7.135407,0.0,True,56.0,0.0,True
Dm8TFidf,acsys8alo2,-5.679915,1e-06,True,159.0,1e-06,True
Dm8TFidf,apl8c621,-8.523073,0.0,True,29.0,0.0,True
Dm8TFidf,apl8ctd,-5.114243,5e-06,True,159.0,1e-06,True
Dm8TFidf,att99atde,-6.015369,0.0,True,126.0,0.0,True
Dm8TFidf,fub99a,-6.520592,0.0,True,113.0,0.0,True
Dm8TFidf,ibms99b,-4.617715,2.8e-05,True,228.0,3.6e-05,True
Dm8TFidf,nttd8ale,-7.700915,0.0,True,30.0,0.0,True
Dm8TFidf,ok8asxc,-4.501879,4.2e-05,True,250.0,0.000104,True
Dm8TFidf,pir9Attd,-6.478051,0.0,True,131.0,0.0,True
GE8ATDN2,INQ601,1.178433,0.244315,False,505.0,0.204476,False
